mode,month,dtrip,dtrip_y2,expansion_factor,draw
pr,11,91065.43896484375,74995.0673828125,.82352942,39
sh,11,0,0,1,39
fh,12,657.0160675048828,788.4192810058594,1.2,39
pr,12,0,0,1,39
sh,12,0,0,1,39
fh,1,0,0,1,40
pr,1,0,0,1,40
sh,1,0,0,1,40
fh,2,0,0,1,40
pr,2,0,0,1,40
sh,2,0,0,1,40
fh,3,0,0,1,40
pr,3,0,0,1,40
sh,3,0,0,1,40
fh,4,0,0,1,40
pr,4,7960.370361328125,7960.370361328125,1,40
sh,4,5032.54541015625,5032.54541015625,1,40
fh,5,1733.615055084229,1773.770027160645,1.0231626,40
pr,5,1867.811058044434,1757.939819335938,.94117647,40
sh,5,16156.96841430664,16346.12548828125,1.0117074,40
fh,6,980.0935363769531,971.228157043457,.99095458,40
pr,6,65457.72033691406,64374.12255859375,.98344582,40
sh,6,262052.6330566406,251359.896484375,.95919621,40
fh,7,2736.930603027344,2740.304222106934,1.0012326,40
pr,7,288661.607421875,290493.9521484375,1.0063478,40
sh,7,289992.939453125,272671.830078125,.9402706,40
fh,8,2061.341835021973,2038.342102050781,.98884237,40
pr,8,238258.9477539063,240575.9697265625,1.0097249,40
sh,8,476763.41015625,485436.083984375,1.0181907,40
fh,9,996.2941207885742,987.7449111938477,.99141902,40
pr,9,141425.1484375,136510.4580078125,.96524882,40
sh,9,36339.64916992188,34203.80372619629,.94122547,40
fh,10,3256.723205566406,3324.761154174805,1.0208915,40
pr,10,59291.89282226563,60872.22326660156,1.0266534,40
sh,10,41088.68676757813,44249.35498046875,1.0769231,40
fh,11,313.2003765106201,385.4773864746094,1.2307693,40
pr,11,117451.1987304688,96724.5166015625,.82352942,40
sh,11,0,0,1,40
fh,12,847.7350616455078,1017.282073974609,1.2,40
pr,12,0,0,1,40
sh,12,0,0,1,40
fh,1,0,0,1,41
pr,1,0,0,1,41
sh,1,0,0,1,41
fh,2,0,0,1,41
pr,2,0,0,1,41
sh,2,0,0,1,41
fh,3,0,0,1,41
pr,3,0,0,1,41
sh,3,0,0,1,41
fh,4,0,0,1,41
pr,4,9660.725830078125,9660.725830078125,1,41
sh,4,11024.033203125,11024.033203125,1,41
fh,5,7.598452776670456,7.151484966278076,.94117647,41
pr,5,24932.54736328125,26713.44360351563,1.0714285,41
sh,5,10362.27590942383,10206.83180236816,.98499906,41
fh,6,981.3032054901123,967.0377349853516,.98546273,41
pr,6,61469.95971679688,61834.2509765625,1.0059264,41
sh,6,300677.9443359375,288548.435546875,.95965946,41
fh,7,2859.935539245605,2912.935623168945,1.0185319,41
pr,7,319390.6572265625,320324.703125,1.0029244,41
sh,7,181379.025390625,175399.9370117188,.96703541,41
fh,8,1193.87749671936,1217.001518249512,1.0193689,41
pr,8,236392.6416015625,241188.0400390625,1.0202857,41
sh,8,309135.88671875,316950.5732421875,1.0252792,41
fh,9,842.3542594909668,851.0565853118896,1.0103309,41
pr,9,146142.8349609375,140042.5858154297,.95825833,41
sh,9,49487.15087890625,46527.84042358398,.94020045,41
fh,10,2785.205993652344,2921.597259521484,1.0489699,41
pr,10,53601.40441894531,55939.97882080078,1.0436289,41
sh,10,35642.42944335938,38384.15478515625,1.0769231,41
